cid,iupac_name,connectivity_smiles,smiles,fingerprint,cactvs_fingerprint,max_tanimoto
16402,"hexane-1,6-diamine",C(CCCN)CCN,C(CCCN)CCN,00000371E0630000000000000000000000000000000000000000000000000000000000000000001C00100000000800C100040000004000000000000000000000000000000000800000000000020080000000000010000000011000000000000000000000000000000000000000000000000000,11100000011000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000100000000000000000000000000000000100000000000110000010000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0
196,hexanedioic acid,C(CCC(=O)O)CC(=O)O,C(CCC(=O)O)CC(=O)O,00000371C0603800000000000000000000000000000000000000000000000000000000000000001A000008000008008080000008000002000800009008000000000000000000010000000000120000000040000400000000018848000000000000000000000000000000000000000000000000,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0
712,formaldehyde,C=O,C=O,00000371000020000000000000000000000000000000000000000000000000000000000000000012000000000000000000020000000000000800000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0
6658,methyl 2-methylprop-2-enoate,CC(=C)C(=O)OC,CC(=C)C(=O)OC,00000371C0603000000000000000000000000000000000000000000000000000000000000000001A00000000000C00808002020800000400880200D208000000000000000000010000400004000021000000000000000020800000000000000000000000000000000000000000000000000000,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000110000000000100000001000000000000010000000100000100000000000000000000000010000000000100010000000001000000000110100100000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000010000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0
996,phenol,C1=CC=C(C=C1)O,C1=CC=C(C=C1)O,0000037180602000000000000000000000000000000000000000300000000000000000010000001A0000080000080480900030068000020080002042000002000020200008880006088808262282111280700024C0110898078040000000000000000000000000000000000000000000000000,10000000011000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000100000000100100000001001000000000000001100000000011010000000000000000000001000000000100000000000000000100000010000100000000000000000000000100000000000000000001000000010000000000000000010001000100000000000000001100000100010001000000010000010011000100010100000100001000100010010100000000111000000000000001001001100000000010001000010001001100000000111100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0
7955,"1,3,5-triazine-2,4,6-triamine",C1(=NC(=NC(=N1)N)N)N,C1(=NC(=NC(=N1)N)N)N,00000371804380000000000000000000000000000000000000002C00000000000000000180000004001000000000000000000110064810002000000024000000090000800100000000008008000000000000000800000000000000000000000000000000000000000000000000000000000000,10000000010000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000010000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010001000000000110010010000001000000000000001000000000000000000000000000000010010000000000000000000000000000001001000000000000000010000000000000010000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0
1176,urea,C(=O)(N)N,C(=O)(N)N,00000371800320000000000000000000000000000000000000000000000000000000000000000006001000000000000000000100004000000800000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10000000000000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0
612,2-hydroxypropanoic acid,CC(C(=O)O)O,CC(C(=O)O)O,0000037180403000000000000000000000000000000000000000000000000000000000000000001A00000800000814A080020208000002000800009008020000000000000000014000000110000000000040000000000100000000000000000000000000000000000000000000000000000000,10000000010000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000010001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0
8301,"1,1,2,2-tetrafluoroethene",C(=C(F)F)(F)F,C(=C(F)F)(F)F,00000371004001C00000000000000000000000000000000000000000000000000000000000000009000000000000000000100000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000010000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0
7835,2-(chloromethyl)oxirane,C1C(O1)CCl,C1C(O1)CCl,0000037180402000040000000000000000001200000000000000000000000000000000000000001A02000000000817A080420000000004000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10000000010000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000010000000000000000000000000000000000000100000010111101000001000000001000010000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0
